segment_id,record_id,npz_path,fs,n_samples,n_leads,leads,start_s,end_s
JS00001_II_0_5000,JS00001_II_0_5000,data/JS00001_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00002_II_0_5000,JS00002_II_0_5000,data/JS00002_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00004_II_0_5000,JS00004_II_0_5000,data/JS00004_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00005_II_0_5000,JS00005_II_0_5000,data/JS00005_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00006_II_0_5000,JS00006_II_0_5000,data/JS00006_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00007_II_0_5000,JS00007_II_0_5000,data/JS00007_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00008_II_0_5000,JS00008_II_0_5000,data/JS00008_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00009_II_0_5000,JS00009_II_0_5000,data/JS00009_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00010_II_0_5000,JS00010_II_0_5000,data/JS00010_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00011_II_0_5000,JS00011_II_0_5000,data/JS00011_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00012_II_0_5000,JS00012_II_0_5000,data/JS00012_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00013_II_0_5000,JS00013_II_0_5000,data/JS00013_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00014_II_0_5000,JS00014_II_0_5000,data/JS00014_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00015_II_0_5000,JS00015_II_0_5000,data/JS00015_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00016_II_0_5000,JS00016_II_0_5000,data/JS00016_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00017_II_0_5000,JS00017_II_0_5000,data/JS00017_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00018_II_0_5000,JS00018_II_0_5000,data/JS00018_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00019_II_0_5000,JS00019_II_0_5000,data/JS00019_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00020_II_0_5000,JS00020_II_0_5000,data/JS00020_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00021_II_0_5000,JS00021_II_0_5000,data/JS00021_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00022_II_0_5000,JS00022_II_0_5000,data/JS00022_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00023_II_0_5000,JS00023_II_0_5000,data/JS00023_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00024_II_0_5000,JS00024_II_0_5000,data/JS00024_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00025_II_0_5000,JS00025_II_0_5000,data/JS00025_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00026_II_0_5000,JS00026_II_0_5000,data/JS00026_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00027_II_0_5000,JS00027_II_0_5000,data/JS00027_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00029_II_0_5000,JS00029_II_0_5000,data/JS00029_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00030_II_0_5000,JS00030_II_0_5000,data/JS00030_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00031_II_0_5000,JS00031_II_0_5000,data/JS00031_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00032_II_0_5000,JS00032_II_0_5000,data/JS00032_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00033_II_0_5000,JS00033_II_0_5000,data/JS00033_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00034_II_0_5000,JS00034_II_0_5000,data/JS00034_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00036_II_0_5000,JS00036_II_0_5000,data/JS00036_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00037_II_0_5000,JS00037_II_0_5000,data/JS00037_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00038_II_0_5000,JS00038_II_0_5000,data/JS00038_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00039_II_0_5000,JS00039_II_0_5000,data/JS00039_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00040_II_0_5000,JS00040_II_0_5000,data/JS00040_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00041_II_0_5000,JS00041_II_0_5000,data/JS00041_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00042_II_0_5000,JS00042_II_0_5000,data/JS00042_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
JS00043_II_0_5000,JS00043_II_0_5000,data/JS00043_II_0_5000.npz,500.0,5000,1,L1,0.0,10.0
